name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value,ds_id,ds_qid
"Fenâî, Laʻlî Meḥmed",author,فنائى، لعلى محمد,,human,Laʻlî Meḥmed Fenâî,Q113826477,DSNAME4197,Q40642
"Fenayî, -1664 or 1665",author,فناىي,,human,Fenayî,Q130375028,DSNAME6884,Q54865
"Fénelon, François de Salignac de La Mothe-, 1651-1715",author,,,human,François Fénelon,Q310002,DSNAME6251,Q49122
"Fenestella, L. -1452",author,,,human,Lucius Fenestella,Q20010809,DSNAME3703,Q40148
"Fenn, John, 1739-1794",former owner,,http://id.loc.gov/authorities/names/n87900550,human,John Fenn,Q6232934,DSNAME176,Q449
"Fenn, John, 1739-1794",former owner,,,human,John Fenn,Q6232934,DSNAME176,Q449
"Fenn, R. H",former owner,,,human,R. H. Fenn,Q124566800,DSNAME4198,Q40643
"Fenwick, Katherine Somerset Wyttenbach, 1823-1913",former owner,,,human,Katherine Somerset Wyttenbach Fenwick,Q120442560,DSNAME1192,Q6071
"Fenwick, Thomas Fitzroy Phillipps, 1856-1938",former owner,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469,DSNAME1193,Q6072
"Fenwick, Thomas FitzRoy Phillipps, 1856-1938",former owner,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469,DSNAME1193,Q6072
"Ferdinand I, Grand Duke of Tuscany",author,,,human,Ferdinando I de' Medici,Q297483,DSNAME763,Q3164
"Ferdinand I, King of Naples, 1423-1494",author,,,human,Ferdinand I of Naples,Q437838,DSNAME737,Q2847
"Ferdinand I, King of Naples, 1423-1494",author,,http://id.loc.gov/authorities/names/n98051635,human,Ferdinand I of Naples,Q437838,DSNAME737,Q2847
"Ferdinand I, King of Spain and Naples",author,,,human,Ferdinand I of Naples,Q437838,DSNAME737,Q2847
"Ferdinand II, Archduke of Austria, 1529-1595",author,,,human,"Ferdinand II, Archduke of Austria",Q313426,DSNAME1003,Q4367
"Ferdinand II, Archduke of Austria, 1529-1595",author,,http://id.loc.gov/authorities/names/nr96028045,human,"Ferdinand II, Archduke of Austria",Q313426,DSNAME1003,Q4367
Ferdinand of Aragon,former owner,,,human,Ferdinand I of Aragon,Q47412,DSNAME5699,Q42172
"Ferdinando I, Grand-Duke of Tuscany, 1549-1609",author,,,human,Ferdinando I de' Medici,Q297483,DSNAME763,Q3164
"Ferdinando I, Grand-Duke of Tuscany, 1549-1609",author,,http://id.loc.gov/authorities/names/n88019319,human,Ferdinando I de' Medici,Q297483,DSNAME763,Q3164
"Ferdinando II, Grand-Duke of Tuscany, 1610-1670",author,,,human,Ferdinando II de' Medici,Q314558,DSNAME7338,Q67584
Ferdinand Roten Galleries,former owner,,,organization,Ferdinand Roten Incorporated,Q120442747,DSNAME5538,Q41983
Ferdinand Roten Incorporated,former owner,,,organization,Ferdinand Roten Incorporated,Q120442747,DSNAME5538,Q41983
"Ferdinand V, King of Spain, 1452-1516",author,,http://id.loc.gov/authorities/names/n50002750,human,Ferdinand II of Aragon,Q12860,DSNAME1294,Q7042
"Ferdinand V, King of Spain, 1452-1516",author,,,human,Ferdinand II of Aragon,Q12860,DSNAME1294,Q7042
"Ferguson, F. S. 1878-1967",former owner,,http://id.loc.gov/authorities/names/n85293822,human,Frederic Sutherland Ferguson,Q5497139,DSNAME577,Q1812
Ferna~o Lopes,author,,,human,Fernão Lopes,Q704519,DSNAME4199,Q40644
"Fernández del Castillo, Manuel",former owner,,,human,Manuel Fernández del Castillo,Q131623158,DSNAME7132,Q67378
"Fernández de Matanco, Pero, active 1550-1553",author,,,human,Pero Fernández de Matanco,Q131623188,DSNAME7160,Q67406
"Fernández de Oviedo y Valdés, Gonzalo, 1478-1557",scribe,,http://id.loc.gov/authorities/names/n79107995,human,Gonzalo Fernández de Oviedo y Valdés,Q919967,DSNAME4200,Q40645
"Fernández de Oviedo y Valdés, Gonzalo, 1478-1557",author,,http://id.loc.gov/authorities/names/n79107995,human,Gonzalo Fernández de Oviedo y Valdés,Q919967,DSNAME4200,Q40645
"Fernández de Oviedo y Valdés, Gonzalo, 1478-1557",artist,,http://id.loc.gov/authorities/names/n79107995,human,Gonzalo Fernández de Oviedo y Valdés,Q919967,DSNAME4200,Q40645
Fernando de Villalobos,former owner,,,human,Fernando de Villalobos,Q125930794,DSNAME5700,Q42173
"Fernando Gonzales de Cordoba, Viceroy of Naples",author,,,human,Gonzalo Fernández de Córdoba,Q318699,DSNAME6973,Q55382
"Fernán-Núñez, Carlos José Gutiérrez de los Ríos y Rohan Chabot, conde de, 1742-1795",author,,,human,Carlos José Gutiérrez de los Ríos y Rohan Chabot Fernán-Núñez,Q8264030,DSNAME5971,Q42663
"Fernán-Núñez, Carlos José Gutiérrez de los Ríos y Rohan Chabot, conde de, 1742-1795.",former owner,,,human,Carlos José Gutiérrez de los Ríos y Rohan Chabot Fernán-Núñez,Q8264030,DSNAME5971,Q42663
"Fernán Núñez, Carlos José Gutiérrez de los Ríos y Sarmiento, duque de, 1779-1822",author,,,human,Carlos José Gutiérrez de los Ríos y Sarmiento,Q55836608,DSNAME5972,Q42664
"Fernán Núñez, Francisco Gutiérrez de los Ríos y Córdoba, conde de, 1644-1717",former owner,,,human,Francisco Gutiérrez de los Ríos,Q5865936,DSNAME5973,Q42665
Fernão Vaz Dourado,author,,,human,Fernão Vaz Dourado,Q2349261,DSNAME4110,Q40555
"Ferrão de Castelo Branco, Jean de Carvalho Martins, 1805-1849",former owner,,,human,Jean de Carvalho Martins Ferrão de Castelo Branco,Q123581725,DSNAME2637,Q18685
"Ferrari, Antonio de 1444-1517",author,,,human,Antonio de Ferraris,Q3619505,DSNAME4201,Q40646
"Ferrari, Antonio de 1444-1517.",author,,,human,Antonio de Ferraris,Q3619505,DSNAME4201,Q40646
"Ferrici, Petrus, -1478",former owner,,,human,Pedro Ferris,Q1772296,DSNAME7361,Q67607
"Ferro, Antonius",author,,,human,Antonius Ferro,Q116181493,DSNAME1130,Q5123
"Festetics von Tolna, Gabor, Graf",former owner,,,human,Gabor Fastetics von Tolna,Q116041262,DSNAME742,Q2852
"Fetterolf, Edwin H",former owner,,,human,Edwin H. Fetterolf,Q96312106,DSNAME1467,Q7628
"Feutrier, Imbert",author,,,human,Imbert Feutrier,Q113826490,DSNAME171,Q444
"Feyzullah Efendi, 1639-1703",author,"فيض الله افندى, 1639-1703",,human,Feyzullah Efendi,Q6103765,DSNAME6780,Q54761
"Feyzullah Sermed, -1787",author,فيض الله سرمد,,human,Feyzullah Sermed,Q130375063,DSNAME6936,Q54917
"Fiamma, Galvano, 1283-1344",author,,,human,Galvano Fiamma,Q3228790,DSNAME9013,Q108624
"Fibonacci, Leonardo, approximately 1170-approximately 1240",author,,http://id.loc.gov/authorities/names/n84804089,human,Fibonacci,Q8763,DSNAME2102,Q12910
"Ficino, Marsilio, 1433-1499",author,,,human,Marsilio Ficino,Q192374,DSNAME7326,Q67572
"Fieldhouse, W. I",former owner,,,human,W. I. Fieldhouse,Q124566801,DSNAME4202,Q40647
"Figdor, Albert, 1843-1927",former owner,,,human,Albert Figdor,Q1552207,DSNAME3657,Q40102
"Figueroa, Francisco de, 1536?-1620",author,,,human,Francisco de Figueroa,Q98970743,DSNAME5974,Q42666
"Fikrī, Amīn, 1856 or 1857-1898 or 1899",author,فكري، امين، 1856 or 1857-1898 or 1899,,human,Muḥammad Amīn Fikrī,Q28042273,DSNAME6622,Q54253
"Filelfo, Francesco, 1398-1481",author,,,human,Francesco Filelfo,Q4622,DSNAME4203,Q40648
"Filelfo, Francesco 1398-1481",author,,,human,Francesco Filelfo,Q4622,DSNAME4203,Q40648
"Filelfo, Francesco 1398-1481.",author,,,human,Francesco Filelfo,Q4622,DSNAME4203,Q40648
"Filesac, Jean, 1556-1638",author,,,human,Jean Filesac,Q30902182,DSNAME2424,Q17633
Filippo Beroaldo,author,,,human,Filippo Beroaldo,Q3071870,DSNAME1204,Q6083
"Fine, Oronce, 1494-1555",author,,,human,Oronce Finé,Q983291,DSNAME4204,Q40649
"Fintsi, Mordekhai",author,"פינצי, מרדכי",,human,Mordecai Finzi,Q1703298,DSNAME8288,Q75701
"Finzi, Joseph ben Abraham",scribe,,,human,Joseph ben Abraham Finzi,Q116326546,DSNAME922,Q3761
"Finzi, Mazliah",former owner,,,human,Mazliah Finzi,Q116326568,DSNAME919,Q3758
"Fiqī, Muḥammad Saʻd, active 1870",scribe,فقي، محمد سعد، active 1870،,,human,Muḥammad Saʻd Fiqī,Q124130453,DSNAME3200,Q27984
Firdawsī,author,,,human,Ferdowsi,Q43459,DSNAME2643,Q18691
Firdawsī,author,,,human,Ferdowsi,Q43459,DSNAME2643,Q18691
Firdawsi?,author,,,human,Ferdowsi,Q43459,DSNAME2643,Q18691
"Firenze, Andrea de, 15th cent",illuminator,,,human,Andrea di Bonaiuto,Q495419,DSNAME162,Q435
"Firenze, Andrea de, 15th century",illuminator,,,human,Andrea di Bonaiuto,Q495419,DSNAME162,Q435
"Firiştezade, Abdülmecid, d. 1459",author,فرشته زاده، عبد المجيد,,human,Abdülmecid Firiştezade,Q130375003,DSNAME6848,Q54829
"Firkowitsch, Abraham, 1786-1874",author,"פירקוויץ, אברהם בן שמואל, 1786-1874",,human,Abraham Firkovich,Q2390259,DSNAME8319,Q75731
"Firmian, Johann von",former owner,,,human,Johann von Firmian,Q110153969,DSNAME4205,Q40650
"Firmin-Didot, Ambroise, 1790-1876",former owner,,,human,Ambroise Firmin Didot,Q2842379,DSNAME2464,Q17673
"Firmin-Didot, Ambrose, 1790-1876",former owner,,,human,Ambroise Firmin Didot,Q2842379,DSNAME2464,Q17673
"Firo, Yitsḥaḳ",author,"פירו, יצחק",,human,Yitsḥaḳ Firo,Q132799221,DSNAME8432,Q75843
First Master of the Choir Books,illuminator,,,human,First Master of the Choir Books,Q123274759,DSNAME2258,Q16561
"Fīrūzābādī, Muḥammad ibn Yaʻqūb, 1329-1414 or 1415",author,,,human,Firuzabadi,Q4115262,DSNAME784,Q3185
"Fīrūzābādī, Muḥammad ibn Yaʻqūb, 1329-1414 or 1415",author,فيروزآبادى، محمد بن يعقوب، 1329-1414 يا 1415,http://id.loc.gov/authorities/names/n83055935,human,Firuzabadi,Q4115262,DSNAME784,Q3185
"Fīrūzābādī, Muḥammad ibn Yaʻqūb, 1329-1414 or 1415",author,,,human,Firuzabadi,Q4115262,DSNAME784,Q3185
"Fīrūzābādī, Muḥammad ibn Yaʻqūb, 1329-1414 or 1415",author,فيروزآبادى، محمد بن يعقوب، 1329-1414 يا 1415,http://id.loc.gov/authorities/names/n83055935,human,Firuzabadi,Q4115262,DSNAME784,Q3185
"Fīrūzābādī al-Shīrāzī, Abū Isḥāq Ibrāhīm ibn ʻAlī ibn Yūsuf, approximately 1003-1083",author,,,human,al-Shīrāzī,Q3603848,DSNAME7047,Q63977
"Fīrūzābādī al-Shīrāzī, Abū Isḥāq Ibrāhīm ibn ʻAlī ibn Yūsuf, approximately 1003-1083.",author,,,human,al-Shīrāzī,Q3603848,DSNAME7047,Q63977
"Fischmann, Gail",former owner,,,human,Gail Fischmann,Q124629903,DSNAME4206,Q40651
"Fischmann, Milton, d.1974",former owner,,,human,Milton Fischmann,Q124629904,DSNAME4207,Q40652
"Fischmann, Milton, d. 1974",former owner,,,human,Milton Fischmann,Q124629904,DSNAME4207,Q40652
"Fishacre, Richard, approximately 1200-1248",author,,,human,Richard Fishacre,Q7325681,DSNAME7960,Q68570
"Fīshāwī, Aḥmad ibn Aḥmad, active 19th century",author,,,human,Aḥmad ibn Aḥmad Fīshāwī,Q136458547,DSNAME8971,Q108547
"Fisher, Henry M",former owner,,,human,Henry M. Fisher,Q124566802,DSNAME4208,Q40653
"Fisher, Otto Orren",former owner,,,human,Otto Orren Fisher,Q116326593,DSNAME1714,Q8429
"Fisher, Otto Orren, 1881-1961",former owner,,,human,Otto Orren Fisher,Q116326593,DSNAME1714,Q8429
"Fīshī, Muḥammad ibn Aḥmad, active 16th century",scribe,فيشي، محمد بن احمد، active 16th century,,human,Muḥammad ibn Aḥmad Fīshī,Q131748566,DSNAME7798,Q68408
"Fiske, Willard, 1831-1904",former owner,,,human,Willard Fiske,Q2047315,DSNAME4209,Q40654
"FitzHerbert, Henry, Sir, bart",former owner,,,human,"Sir Henry FitzHerbert, 3rd Baronet",Q75282279,DSNAME4210,Q40655
"FitzSimmons, James Albert",former owner,,,human,James Albert FitzSimmons,Q131623164,DSNAME7138,Q67384
"Fitzwilliam, George W",former owner,,,human,George W. Fitzwilliam,Q114242437,DSNAME2784,Q20104
"Fitzwilliam, William Charles de Meuron, Earl, 1872-1943",former owner,,,human,"William Wentworth-Fitzwilliam, 7th Earl Fitzwilliam",Q7614395,DSNAME2161,Q16469
Fitzwilliam (Wentworth) Estates,former owner,,,organization,Wentworth Woodhouse,Q7983040,DSNAME2164,Q16472
"Flachmann, Bartholdus and Flachmann, Johann",former owner,,,human,Bartholdus and Johann Flachmann,Q122873315,DSNAME2815,Q20134
"Flamel, Nicolas, -1418",scribe,,,human,Nicolas Flamel,Q213330,DSNAME4211,Q40656
Flaminio Piatti,author,,,human,Flaminio Piatti,Q3073290,DSNAME4212,Q40657
Flavius Vegetius Renatus,author,,,human,Vegetius,Q4298,DSNAME908,Q3747
Flavius Vegetius Renatus 4th century,author,,,human,Vegetius,Q4298,DSNAME908,Q3747
"Fleischer, Heinrich Leberecht, 1801-1888",author,,,human,Heinrich Leberecht Fleischer,Q543081,DSNAME6951,Q55360
"Fliscus, Stephanus",author,,,human,Stefano Fieschi,Q9345558,DSNAME7339,Q67585
"Floranes y Encinas, Rafael, 1743-1801",former owner,,,human,Rafael Floranes,Q7282371,DSNAME4213,Q40658
Florence (Italy),author,,,organization,Florence,Q2044,DSNAME1183,Q6062
Florence (Italy). Priorista,author,,,organization,Priori (Florence),Q116706694,DSNAME1376,Q7317
Florence (Italy). Regolatori delle entrate e delle uscite,author,,,organization,Florence,Q2044,DSNAME1183,Q6062
Florence (Republic). Signoria,author,,,organization,Signoria of Florence,Q3393334,DSNAME1677,Q8310
Florence (Tuscany). Otto di guardia e balia,author,,http://id.loc.gov/authorities/names/n88244718,organization,"Otto di guardia e balia (Florence, Tuscany)",Q3887313,DSNAME1004,Q4368
Florence (Tuscany). Otto di guardia e balia,author,,,organization,"Otto di guardia e balia (Florence, Tuscany)",Q3887313,DSNAME1004,Q4368
"Flores, Pietro, Bishop",author,,,human,Pietro Flores,Q116327081,DSNAME1655,Q8224
Floriani family,former owner,,,organization,Floriani family,Q116522686,DSNAME236,Q840
"Florimi, Matteo",author,,,human,Matteo Florimi,Q42753438,DSNAME4214,Q40659
"Florio, Daniele, 1710-1789",former owner,,,human,Daniele Florio,Q55227681,DSNAME8588,Q76698
"Florio, Francesco",former owner,,,human,Francesco Florio,Q41528964,DSNAME8645,Q76761
"Florus, Lucius Annaeus",author,,,human,Lucius Annaeus Florus,Q316483,DSNAME1720,Q10860
Florus of Lyon,author,,,human,Florus of Lyon,Q3074346,DSNAME4215,Q40660
"Fogg, Sam",former owner,,,organization,Sam Fogg Rare Books & Manuscripts,Q116189818,DSNAME3085,Q27872
Foliophiles,former owner,,,organization,Foliophiles,Q124515306,DSNAME5577,Q42022
"Folliott, George",former owner,,,human,George Folliott,Q75433234,DSNAME5975,Q42667
"Follower of Birago, Giovan Pietro, active 1471-1513 and Master B. F. (sometimes identified as Francisco Binasco)",artist,,,human,Giovanni Pietro Birago,Q1901175,DSNAME2741,Q16521
Follower of Jean Pucelle,artist,,,human,Jean Pucelle,Q175888,DSNAME2994,Q20304
Follower of the master of the vitae imperatorum,artist,,,human,Master of the Vitae Imperatorum,Q1673214,DSNAME2813,Q20132
"Fomelli, Alessandro",scribe,,,human,Alessandro Fomelli,Q124566803,DSNAME4216,Q40661
"Fontaine, Charles, approximately 1514-",former owner,,,human,Charles Fontaine,Q17992861,DSNAME2932,Q20247
"Fontaines, Honorat de Bueil, seigneur de, -1590",author,,,human,"Honorat de Bueil, seigneur de Fontaines",Q124566804,DSNAME4217,Q40662
"Fontana, Bartolomeo",author,,http://id.loc.gov/authorities/names/n90710726,human,Bartolomeo Fontana,Q109969410,DSNAME1401,Q7341
"Fontana, Bartolomeo",author,,,human,Bartolomeo Fontana,Q109969410,DSNAME1401,Q7341
"Fontanella, Refaʼel di",author,"פונטנילה, רפאל די",,human,Refaʼel di Fontanella,Q132799235,DSNAME8491,Q75902
"Fonte, Bartolommeo 1445-1513",author,,,human,Bartolomeo della Fonte,Q13570581,DSNAME4218,Q40663
"Fonte, Bartolommeo 1445-1513.",author,,,human,Bartolomeo della Fonte,Q13570581,DSNAME4218,Q40663
"Foot, Isaac, 1880-1960",former owner,,,human,Isaac Foot,Q6076320,DSNAME4132,Q40577
"Foote, Henry Wilder, 1838-1889",former owner,,,human,Henry Wilder Foote,Q66777983,DSNAME4219,Q40664
"Foote, Henry Wilder, 1875-1964",former owner,,,human,Henry Wilder Foote,Q60220141,DSNAME4220,Q40665
"Ford, Ralph Ewart, 1897-",former owner,,,human,Ralph Ewart Ford,Q123378474,DSNAME2473,Q17682
Forde Abbey (approximately 1142-approximately 1539),former owner,,,organization,Forde Abbey,Q689615,DSNAME7455,Q67701
"Foresi, Bastiano",author,,,human,Bastiano Foresi,Q18945082,DSNAME2284,Q16586
"Foresi, Bastiano, 1424-1488",scribe,,,human,Bastiano Foresi,Q18945082,DSNAME2284,Q16586
"Foret, Michel, active 14th century",author,,,human,Michel Foret,Q2741931,DSNAME2414,Q16713
"Forno, Tsiporah de",author,"פורנו, צפורה די",,human,Tsiporah de Forno,Q132798600,DSNAME8189,Q75603
"Forrer, Robert, 1866-1947",former owner,,,human,Robert Forrer,Q119493,DSNAME2260,Q16563
"Fortescue, John, Sir, 1394?-1476",author,,http://id.loc.gov/authorities/names/n79021586,human,John Fortescue,Q568395,DSNAME4221,Q40666
"Fortescue, John, Sir, 1394?-1476?",author,,,human,John Fortescue,Q568395,DSNAME4221,Q40666
"Forti, Vittorio",former owner,,,human,Vittorio Forti,Q123274760,DSNAME2320,Q16621
"Foscarari, Egidio, -1289",author,,http://id.loc.gov/authorities/names/no2006063291,human,Egidio Foscarari,Q41569530,DSNAME723,Q1958
"Foscarari, Egidio, -1289",author,,,human,Egidio Foscarari,Q41569530,DSNAME723,Q1958
"Foscarini, Lodovico",author,,,human,Ludovico Foscarini,Q24175173,DSNAME1006,Q4370
"Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958",former owner,,,human;human,George N. Olcott;George Amos Poole,Q18912535;Q64683625,DSNAME376;DSNAME360,Q1540;Q1524
"Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;human,George N. Olcott;George Amos Poole,Q18912535;Q64683625,DSNAME376;DSNAME360,Q1540;Q1524
"Found and first published by Anton Birlinger (1834-1891, of Bonn) who describes it as having been in the possession of Karl Strauven (d. 1886), notary in Düsseldorf",former owner,,,human;human,Anton Birlinger;Karl Leopold Strauven,Q588335;Q11028150,DSNAME387;DSNAME388,Q1551;Q1552
"Found and first published by Anton Birlinger (1834-1891, of Bonn) who describes it as having been in the possession of Karl Strauven (d. 1886), notary in Düsseldorf;",former owner,,,human;human,Anton Birlinger;Karl Leopold Strauven,Q588335;Q11028150,DSNAME387;DSNAME388,Q1551;Q1552
"Found and first published by Anton Birlinger (1834-1891, of Bonn) who describes it as having been in the possession of Karl Strauven (d. 1886), notary in Düsseldorf; by 1870 acquired by Karl Anton, Fürst von Hohenzollern- Sigmaringen (1811-1885, prime minister of Prussia 1858-62) for the court library at Sigmaringen",former owner,,,human;human;human,"Anton Birlinger;Karl Leopold Strauven;Karl Anton, Prince of Hohenzollern",Q588335;Q11028150;Q58012,DSNAME387;DSNAME388;DSNAME389,Q1551;Q1552;Q1553
"Found and first published by Anton Birlinger (1834-1891, of Bonn) who describes it as having been in the possession of Karl Strauven (d. 1886), notary in Düsseldorf; by 1870 acquired by Karl Anton, Fürst von Hohenzollern- Sigmaringen (1811-1885, prime minister of Prussia 1858-62) for the court library at Sigmaringen;",former owner,,,human;human;human,"Anton Birlinger;Karl Leopold Strauven;Karl Anton, Prince of Hohenzollern",Q588335;Q11028150;Q58012,DSNAME387;DSNAME388;DSNAME389,Q1551;Q1552;Q1553
"Fountaine, Andrew, Sir, 1676-1753",former owner,,,human,Andrew Fountaine,Q4756994,DSNAME2885,Q20202
"Fountains Abbey (North Yorkshire, England)",author,,,organization,Fountains Abbey,Q540237,DSNAME7430,Q67676
"Four ownership notes on the front pastedown and front flyleaf recto: Mus__?___ Guichardin of Saint-Symphorien-le-Châtel, 1632; Jean Guichardin __?___ of Saint-Symphorien-le-Châtel, 1668; the Rev. J. M. Neale of Sackville College, 1858, who gave it to J. F. Young in 1864",former owner,,,human,John Mason Neale,Q246018,DSNAME354,Q1518
"Four ownership notes on the front pastedown and front flyleaf recto: Mus__?___ Guichardin of Saint-Symphorien-le-Châtel, 1632; Jean Guichardin __?___ of Saint-Symphorien-le-Châtel, 1668; the Rev. J. M. Neale of Sackville College, 1858, who gave it to J. F. Young in 1864.",former owner,,,human,John Mason Neale,Q246018,DSNAME354,Q1518
"Fowle, Nicolas",former owner,,,human,Nicolas Fowle,Q116327461,DSNAME937,Q3776
"Fownes, T",former owner,,,human,T. Fownes,Q131623280,DSNAME7248,Q67494
"Fox, Edward, 1496?-1538",author,,,human,Edward Foxe,Q1788760,DSNAME4222,Q40667
"Fox, Edward 1496?-1538",author,,,human,Edward Foxe,Q1788760,DSNAME4222,Q40667
"Fox, Edward 1496?-1538.",author,,,human,Edward Foxe,Q1788760,DSNAME4222,Q40667
"Fox, Helen Morgenthau, 1884-1974",former owner,,,human,Helen Morgenthau Fox,Q13562995,DSNAME8661,Q100842
"Foxá, Juan de",author,,,human,Juan de Foxá,Q127510494,DSNAME5976,Q42668
"Foyle, William A. 1885-1963",former owner,,,human,William Foyle,Q8009288,DSNAME779,Q3180
"Foyle, William A. 1885-1963",former owner,,http://id.loc.gov/authorities/names/nr00032207,human,William Foyle,Q8009288,DSNAME779,Q3180
Fra Bartolomeo,scribe,,,human,Fra Bartolomeo,Q7780,DSNAME554,Q1789
"Fraenkel, Pierre, 1923-",former owner,,http://id.loc.gov/authorities/names/n83073172,human,Pierre Fraenkel,Q59530171,DSNAME776,Q3177
"Fraenkel, Pierre, 1923-",former owner,,,human,Pierre Fraenkel,Q59530171,DSNAME776,Q3177
"Frago, Dominguez del",scribe,,,human,Dominguez del Frago,Q127510491,DSNAME5977,Q42669
France. Sovereign (1380-1422 : Charles VI),author,,,organization;human,Kingdom of France;Charles VI of France,Q70972;Q160349,DSNAME5941;DSNAME3088,Q42633;Q27875
France. Sovereign (1574-1589 : Henry III),author,,,organization;human,Kingdom of France;Henry III of France,Q70972;Q53448,DSNAME5941;DSNAME5979,Q42633;Q42671
"Frances, Emanuel",author,"פרנסיס, עמנואל",,human,Immanuel Frances,Q6004654,DSNAME8283,Q75696
"Francesco, Ghilo di",author,,,human,Ghilo di Francesco,Q116327741,DSNAME1678,Q8311
Francesco Barbaro,author,,,human,Francesco Barbaro,Q712032,DSNAME2208,Q16515
Francesco Berlinghieri,author,,,human,Francesco Berlinghieri,Q5479210,DSNAME4223,Q40668
Francesco da Codigoro,scribe,,,human,Francesco da Codigoro,Q117448115,DSNAME302,Q1104
Francesco da Codigoro?,scribe,,,human,Francesco da Codigoro,Q117448115,DSNAME302,Q1104
Francesco da Costello,illuminator,,,human,Francesco da Castello,Q19402977,DSNAME2249,Q16552
Francesco degli Stabili 1269-1327,author,,,human,Cecco d'Ascoli,Q728592,DSNAME3975,Q40420
Francesco di Giorgio,author,,,human,Francesco di Giorgio,Q434425,DSNAME4224,Q40669
Francesco Ghisolfi,author,,,human,Francesco Ghisolfi,Q68716752,DSNAME4225,Q40670
Francesco Giuntini,author,,,human,Francesco Giuntini,Q3080974,DSNAME4226,Q40671
"Francesco Griffolini of Arezzo, translator",other,,,human,Francesco Griffolini,Q33110113,DSNAME4227,Q40672
"Francesco I, Grand-Duke of Tuscany, 1541-1587",author,,,human,Francesco I de' Medici,Q299675,DSNAME7300,Q67546
"Francesco III Gonzaga, Duke of Mantua, 1540-1550",author,,,human,"Francesco III Gonzaga, Duke of Mantua",Q715234,DSNAME726,Q2836
Francesco Lignamine,author,,,human,Francesco de Lignamine,Q3750856,DSNAME4228,Q40673
Francesco Malacarne,author,,,human,Francesco Malacarne,Q65953117,DSNAME4229,Q40674
Francesco Maturanzio,former owner,,,human,Francesco Maturanzio,Q3750270,DSNAME5701,Q42174
Francesco Petrarca,author,,,human,Petrarch,Q1401,DSNAME2178,Q16486
Francesco Rato,other,,,human,Francesco Rato,Q117321180,DSNAME4230,Q40675
"Francesco Sforza, Duke of Milan, 1401-1466",associated name,,,human,Francesco I Sforza,Q310536,DSNAME4231,Q40676
"Francesco Sforza, Duke of Milan, 1401-1466.",associated name,,,human,Francesco I Sforza,Q310536,DSNAME4231,Q40676
"Franchières, Jean de ca. 1400-1488",author,,,human,Jean de Francières,Q3175407,DSNAME4232,Q40677
"Franchières, Jean de ca. 1400-1488.",author,,,human,Jean de Francières,Q3175407,DSNAME4232,Q40677
"Franchini, Giuseppe, 1915-",former owner,,,human,Giuseppe Franchini,Q116327599,DSNAME907,Q3746
"Franchini, Giuseppe, 1915-",former owner,,http://id.loc.gov/authorities/names/nr2001009952,human,Giuseppe Franchini,Q116327599,DSNAME907,Q3746
"Francis, de Sales, Saint, 1567-1622",author,,,human,Francis de Sales,Q231256,DSNAME6968,Q55377
"Francis, of Assisi, Saint, 1182-1226",author,,,human,Francis of Assisi,Q676555,DSNAME1191,Q6070
"Francis, of Assisi, Saint, 1182-1226.",author,,,human,Francis of Assisi,Q676555,DSNAME1191,Q6070
"Francis Bryan, attributed",author,,,human,Francis Bryan,Q512521,DSNAME3920,Q40365
"Franciscan Convent (Montepulciano, Italy)",former owner,,,organization,San Francesco,Q3689542,DSNAME2264,Q16567
"Franciscan convent of Arras (founded in 1223), with their contemporary inscription on fol. 60v (partly trimmed), ""liber iste fratrum minorum Attrebatensis. qui furatus fuerit non absolvatur nisi eis restituat ablatum"" and, late thirteenth century,""hic est liber fratrom minorum Attrebati""",former owner,,,organization,Franciscan convent of Arras,Q116785049,DSNAME447,Q1611
"Franciscan convent of Arras (founded in 1223), with their contemporary inscription on fol. 60v (partly trimmed), ""liber iste fratrum minorum Attrebatensis. qui furatus fuerit non absolvatur nisi eis restituat ablatum"" and, late thirteenth century,""hic est liber fratrom minorum Attrebati"";",former owner,,,organization,Franciscan convent of Arras,Q116785049,DSNAME447,Q1611
Franciscans,author,,,organization,Franciscans,Q165005,DSNAME1613,Q8104
Franciscans,author,,http://id.loc.gov/authorities/names/n79015671,organization,Franciscans,Q165005,DSNAME1613,Q8104
Franciscans.,author,,,organization,Franciscans,Q165005,DSNAME1613,Q8104
Francisco de Mendoza y Bobadilla,author,,,human,Francisco Mendoza de Bobadilla,Q662239,DSNAME4233,Q40678
Francisco de Pisa,author,,,human,Francisco de Pisa,Q3816939,DSNAME4234,Q40679
Francisco de Vitoria 1486?-1546,author,,,human,Francisco de Vitoria,Q312384,DSNAME4235,Q40680
"Franciscus, de Mayronis, approximately 1285-approximately 1328",author,,,human,Francis of Mayrone,Q1995114,DSNAME4236,Q40681
