record,recordLabel,roleLabel,nameString,nameLabel
https://catalog.digital-scriptorium.org/entity/Q46844,"The life and death of Sir Thomas Moore knight, sometimes Lord Chancellour of Englande (DS10914)",Author,Ro. Ba,
https://catalog.digital-scriptorium.org/entity/Q46901,Pontifical (DS10933),Former owner,Meschatin La Faye family,
https://catalog.digital-scriptorium.org/entity/Q46988,concerning the battle of Lepanto (DS10962),Former owner,Biblioteca Bottigella,
https://catalog.digital-scriptorium.org/entity/Q47120,Boetii de consolatione (DS11006),Former owner,"Collegium Agennensis societatis Jesu (Agen, France)",
https://catalog.digital-scriptorium.org/entity/Q47225,use of Rome (DS11041),Former owner,Diogo de Mello family,
https://catalog.digital-scriptorium.org/entity/Q47231,Libri confessionum Aurelii Augustini (DS11043),Former owner,"Collegium Agennensis societatis Jesu (Agen, France)",
https://catalog.digital-scriptorium.org/entity/Q47258,Decimi Iunii Iuvenalis Aquinatis satirici libri (DS11052),Former owner,Mannucci family,
https://catalog.digital-scriptorium.org/entity/Q47381,Book of hours (Sarum use) (DS11093),Former owner,Bateman family,
https://catalog.digital-scriptorium.org/entity/Q47534,Regla y establecimientos de los hermanos y coffrades de la coffradia de n[uest]ra señora de las nieves; la qual de vocacion se ha de celebrar en la iglesia de señor sant Andre desta villade de... (DS11144),Author,"Cofradía de Nuestra Señora de las Nieves (Valladolid, Spain)",
https://catalog.digital-scriptorium.org/entity/Q47546,Ordinary of the mass (DS11148),Former owner,Biblioteka Tulezynska,
https://catalog.digital-scriptorium.org/entity/Q47618,Expositio in artem veterem Porphyrii et Aristotelis (DS11172),Former owner,Monasterium sanctorum quadraginta martyrum (Treviso Italy),
https://catalog.digital-scriptorium.org/entity/Q46361,Magna Carta; Nova statuta (DS10753),Former owner,Little family,
https://catalog.digital-scriptorium.org/entity/Q46367,Le décameron (DS10755),Former owner,"Couvent des Minimes (Clermont-Tonnerre, France)",
https://catalog.digital-scriptorium.org/entity/Q49484,אניות סוחר (DS11373),Author,Ya'aḳov ben Yehudah Ben 'Aṭar,
https://catalog.digital-scriptorium.org/entity/Q49487,Commentary to Tehillat Hashem (DS11374),Author,Ya'aḳov ben Yehudah Ben 'Aṭar,
https://catalog.digital-scriptorium.org/entity/Q49499,חדושים ודרושים (DS11378),Author,Ya'aḳov ben Yehudah Ben 'Aṭar,
https://catalog.digital-scriptorium.org/entity/Q49505,שאלה ותשובה (DS11380),Author,Ya'aḳov ben Yehudah Ben 'Aṭar,
https://catalog.digital-scriptorium.org/entity/Q49580,La ciroxia vulgarmente fata; Chirurgia; De natura balneorum; De balneis viterbiensibus; De balneis Sancti Cassiani et aliis; De venenis; De lapide Begaar; De arte cognoscendi venena; De epidemia... (DS11405),Scribe,Ghabriel,
https://catalog.digital-scriptorium.org/entity/Q53922,"Memorial de los derechos patrimoniales pertenecientes en la Capital y Reyno de Valencia, y corte de Madrid al Exm̃o. Señor Dn. Carlos Joseph Gutierrez delos Rios Fernandez de Cordova, Suarez de... (DS12704)",Author,"Pico, Joseph Ramon",
https://catalog.digital-scriptorium.org/entity/Q1274,f. 1 verso; f. 1 verso; Prooemialis epistula summo pontifici destinata super legenda Sancte Clare Virginis; Homilies (DS305),Former owner,The ms. has a contemporary inscription: Iste libellus est fratris thomassurii.,
https://catalog.digital-scriptorium.org/entity/Q64473,Kitāb al-Mukhtār al-fatawá ʻalá madhhab al-Imām Abī Ḥanīfah wa-qawl Abī Yūsuf wa-Muḥammad wa-khilāf Zufar wa-al-Shāfiʻī wa-Mālik (DS15645),Scribe,"Ḥanafī, Maḥmūd ibn Mūsá",
https://catalog.digital-scriptorium.org/entity/Q64872,ḥāshiyah li-qaṣd al-tarshīḥ ʻalá awākhir kitāb ṣāḥib al-Tawḍīḥ (DS15778),Author,"Qārṣī, ʻUthmān ibn ḥabīb",
https://catalog.digital-scriptorium.org/entity/Q65013,Mukhtaṣar Ghurar al-shurūṭ (DS15825),Author,Khayr al-Dīn Khalīl,
https://catalog.digital-scriptorium.org/entity/Q65304,Murʻī lil-muqīmīn wa-murḍī lil-musāfirīn (DS15922),Author,"Rūmī, Ibrāhīm ibn ʻUmar",
https://catalog.digital-scriptorium.org/entity/Q65349,Janāḥ al-najāḥ fī junūḥ al-junāḥ (DS15937),Author,"Maqdisī, Maḥmūd ibn Fakhr al-Dīn",
https://catalog.digital-scriptorium.org/entity/Q65613,Tartīb Fatāwá Qāriʼ al-Hidāyah (DS16025),Author,"Ṭarābulusī, Muḥammad",
https://catalog.digital-scriptorium.org/entity/Q65691,Taʻlīqāt ʻalá dībājat al-Durar (DS16051),Author,"Qarṣī, Muḥammad ibn ḥasan",
https://catalog.digital-scriptorium.org/entity/Q66060,Majmūʼat Maḥmūd Afandī (DS16174),Author,Mahmut Efendi Amin ül-Fetva,
https://catalog.digital-scriptorium.org/entity/Q66201,Sharḥ Kanz al-Daqāʼiq (DS16221),Author,"Harawī, Muḥammad ibn Ibrāhīm",
https://catalog.digital-scriptorium.org/entity/Q66480,Khuṭbat nikāḥ al-Burhān Ibrāhīm ibn Abī Ṭāhir al-Kūrānī al-Madanī ... [etc (DS16314),Scribe,"Suwaydīzādah, Saʻīd",
https://catalog.digital-scriptorium.org/entity/Q1699,"Book of Hours, use of Rome (DS309)",Former owner,"as being from the School of the Master of the Golden Scrolls, active in Belgium, probably Bruges in the decade 1420-30, and suggests the addition of Saint Rupert in the calendar connects the book to Salzburg. Purchased by General Theological Seminary in 1968. Inhouse call number: LIT 1200 1420-1430.",
https://catalog.digital-scriptorium.org/entity/Q1699,"Book of Hours, use of Rome (DS309)",Former owner,Written in Flanders in the second quarter of the fifteenth century. A clipping accompanying the book from the GTS(?) Bulletin June 1968 says that Dr. John Plummer of the Pierpont Morgan Library identified the book,
https://catalog.digital-scriptorium.org/entity/Q1732,"Book of Hours, use of Paris (DS320)",Former owner,Written in France in the fourth quarter of the fifteenth century. The ownership portrait on f. 29 and the feminine forms in several prayers indicate that the book was made for a woman.,
https://catalog.digital-scriptorium.org/entity/Q1720,Processional (DS316),Former owner,Written in Spain in the sixteenth century. A typed description of unknown origin attached to front pastedown suggests that the manuscript was written by an Italian scribe about 1500.,
https://catalog.digital-scriptorium.org/entity/Q787,Psalter (DS195),Former owner,Purchased ca. 2000 from a book dealer.,
https://catalog.digital-scriptorium.org/entity/Q2345,Decretals (DS461),Former owner,Acquired before February 1992 and probably in library for many decades.,
https://catalog.digital-scriptorium.org/entity/Q2354,Missal (DS464),Former owner,Survived as part of a binding?; probably in library for many decades.,
https://catalog.digital-scriptorium.org/entity/Q2399,Gradual (DS479),Former owner,"Earlier (pre-1956?) call number: C[abinet] 28, F[older] 3.",
https://catalog.digital-scriptorium.org/entity/Q2594,Hours of the Virgin; Book of Hours (DS544),Artist,"The Hungerford Hours was illuminated by the same artist as a Psalter at Schloss Herdringen in Germany, MS 8 (Sandler 1986, p. 89, no. 81).",
https://catalog.digital-scriptorium.org/entity/Q2684,"Book of Hours, Use of Rome, Heures Mixtes; Book of Hours (DS574)",Scribe,Similar to the scribe of the Hours of Étienne Chevalier,
https://catalog.digital-scriptorium.org/entity/Q2696,Facta et dicta memorabilia; Sayings (DS578),Artist,"cf. A. C. de la Mare in Canova 1999a, pp. 252–53, no. 97, and de la Mare and Nuvoloni 2009, pp 144–45, no. 20.",
https://catalog.digital-scriptorium.org/entity/Q2486,Lives of the Saints; III. KLS. Augusti. Passio; Saints lives (DS508),Scribe,One,
https://catalog.digital-scriptorium.org/entity/Q2690,Untitled (DS576),Artist,"Second artist of the Hours of Cecilia Gonzaga, New York, Morgan Library M 454 (Alexander c. 2010, pp. 65–66).",
https://catalog.digital-scriptorium.org/entity/Q2660,"Das Amtbuch; Das Amtbuch; Das Amtbuch; Das Amtbuch; Constitution and rules; Bull of Innocent VIII, 1405; Chronicle, Dominican (DS566)",Scribe,the convent catalogue entry describes the volume as having been made by the sisters.,
https://catalog.digital-scriptorium.org/entity/Q2498,"Bible, Atlantic Bible (DS512)",Scribe,cf. especially his figs. 123–24),
https://catalog.digital-scriptorium.org/entity/Q2498,"Bible, Atlantic Bible (DS512)",Scribe,"(Berg 1968, pp. 259–60, no. 58",
https://catalog.digital-scriptorium.org/entity/Q2618,Gradual (DS552),Artist,or worskshop of,
https://catalog.digital-scriptorium.org/entity/Q1985,Liber sententiarum (DS341),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1988,Liber extra (DS342),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1991,Untitled (DS343),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1994,Sermons (DS344),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1997,"Bible, N. T. , glossed (DS345)",Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2000,Untitled (DS346),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2003,Scriptum super Sententiis (DS347),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2006,Decretum (DS348),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2012,Sureties for peaceable behavior (DS350),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2015,Notes of fines (DS351),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2009,Chronicle (DS349),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2018,Notes of fines (DS352),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2021,Notes of fines (DS353),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2024,text 1 (DS354),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2027,Sermo de spiritu sancto (DS355),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2243,Writ of Praecipe (DS427),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1961,Commentariorum in Matthaeum Libri Octo (DS333),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2030,Order for peaceable behavior (DS356),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2033,Notes of fines (DS357),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2036,Notes of fines (DS358),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2039,Writ of Praecipe (DS359),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2042,Writ of Praecipe; Writ of Praecipe (DS360),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2045,Homeliarum in Ezechielem (DS361),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2210,Homilies on Ezechiel (DS416),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2213,Isti sunt accusandi in placito christianitatis et in ecclesia quando fuerit necessarium (DS417),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2216,Untitled (DS418),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1970,Homeliae de tempore (DS336),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1964,Codex (DS334),Former owner,"The book from which this leaf originates was in England by the 16th century as witnessed by the note scribbled upside down onto the lower margin of the verso (the lighter side of the parchment), in anglicana script: ""The power that mynos used making al lawes xi & xxvi"" (presumably in reference to the Pseudo Platonic dialogue, Minos).",
https://catalog.digital-scriptorium.org/entity/Q1964,Codex (DS334),Former owner,De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).,
https://catalog.digital-scriptorium.org/entity/Q1967,Homeliae de tempore (DS335),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2192,Liber II Meteorum (DS410),Former owner,De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).,
https://catalog.digital-scriptorium.org/entity/Q2198,Peri Hermenias (DS412),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2201,Untitled (DS413),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2204,Distinctiones alphabeticae (DS414),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2207,Physica (DS415),Former owner,"he married Clarice Sherman Noble in 1892; they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2225,"Sermon-writing aid, in alphabetical order (DS421)",Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2270,Novellae (DS436),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2273,Compendium theologicae veritatis (DS437),Former owner,"they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1973,"Bible, O. T. (DS337)",Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1976,"Codex, Liber Sextus (DS338)",Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2048,Graecismus (DS362),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2057,De vita christiana (DS365),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2060,Canon law (DS366),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2195,Viaticum (DS411),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2219,Biblical concordance (DS419),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2222,Untitled (DS420),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2264,De potentia (DS434),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2054,Theological material (DS364),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2069,"Ut autem non sillogizetur.; Commentary on Aristotle, Analytica Priora (?) (DS369)",Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2081,Institutiones grammaticae (DS373),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2084,Digest (DS374),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2249,De miseria condicionis humane (DS429),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2252,Decretals (DS430),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2255,Sermons; Dominica 20 post festum trinitatis (DS431),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2258,Summa contra gentiles (DS432),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2261,Historia scholastica (DS433),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2267,Alphabetical dictionary (of legal terms?) (DS435),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2078,Bonum universale de apibus (DS372),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1979,Untitled (DS339),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q1982,Untitled (DS340),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2051,Theological material (DS363),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2063,Recipe against worms; For the Wormes (DS367),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2066,Untitled (DS368),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
https://catalog.digital-scriptorium.org/entity/Q2072,Astrological material? (DS370),Former owner,"by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",
